record_id,employee_id,event_type,effective_date,from_grade,to_grade,from_department,to_department
MOV-00300,MOEI-10112,Promotion,2025-01-13,2,3,Infrastructure & Assets,Infrastructure & Assets
MOV-00301,MOEI-10112,Promotion,2026-04-11,3,4,Infrastructure & Assets,Infrastructure & Assets
MOV-00302,MOEI-10112,Promotion,2027-04-26,4,5,Infrastructure & Assets,Infrastructure & Assets
MOV-00303,MOEI-10113,Hire,2016-06-01,,2,,Land & Maritime Transport
MOV-00304,MOEI-10113,Promotion,2019-04-28,2,3,Land & Maritime Transport,Land & Maritime Transport
MOV-00305,MOEI-10113,Promotion,2026-03-28,3,4,Land & Maritime Transport,Land & Maritime Transport
MOV-00306,MOEI-10113,Transfer,2027-04-12,4,4,Land & Maritime Transport,Land & Maritime Transport
MOV-00307,MOEI-10114,Hire,2020-09-19,,3,,Finance
MOV-00308,MOEI-10114,Promotion,2023-08-17,3,4,Finance,Finance
MOV-00309,MOEI-10115,Hire,2023-02-12,,3,,Legal Affairs
MOV-00310,MOEI-10115,Promotion,2024-04-22,3,4,Legal Affairs,Legal Affairs
MOV-00311,MOEI-10116,Hire,2025-02-12,,3,,Legal Affairs
MOV-00312,MOEI-10117,Hire,2025-06-01,,3,,Information Technology
MOV-00313,MOEI-10118,Hire,2021-04-26,,2,,"Petroleum, Gas & Mineral Resources"
MOV-00314,MOEI-10118,Promotion,2024-02-03,2,3,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00315,MOEI-10119,Hire,2016-06-01,,3,,Infrastructure & Assets
MOV-00316,MOEI-10119,Promotion,2019-01-16,3,4,Infrastructure & Assets,Infrastructure & Assets
MOV-00317,MOEI-10119,Promotion,2025-03-23,4,5,Infrastructure & Assets,Infrastructure & Assets
MOV-00318,MOEI-10119,Transfer,2026-04-21,5,5,Infrastructure & Assets,Infrastructure & Assets
MOV-00319,MOEI-10120,Hire,2018-04-26,,2,,Land & Maritime Transport
MOV-00320,MOEI-10120,Promotion,2021-01-04,2,3,Land & Maritime Transport,Land & Maritime Transport
MOV-00321,MOEI-10120,Promotion,2023-01-06,3,4,Land & Maritime Transport,Land & Maritime Transport
MOV-00322,MOEI-10121,Hire,2018-12-01,,3,,Procurement & Contracts
MOV-00323,MOEI-10121,Promotion,2020-11-09,3,4,Procurement & Contracts,Procurement & Contracts
MOV-00324,MOEI-10121,Promotion,2023-01-14,4,5,Procurement & Contracts,Procurement & Contracts
MOV-00325,MOEI-10122,Hire,2023-01-07,,2,,Legal Affairs
MOV-00326,MOEI-10122,Promotion,2026-02-01,2,3,Legal Affairs,Legal Affairs
MOV-00327,MOEI-10123,Hire,2021-10-25,,2,,Information Technology
MOV-00328,MOEI-10123,Promotion,2025-12-20,2,3,Information Technology,Information Technology
MOV-00329,MOEI-10124,Hire,2020-07-08,,3,,Corporate Communication
MOV-00330,MOEI-10124,Transfer,2023-08-28,3,3,Corporate Communication,Corporate Communication
MOV-00331,MOEI-10125,Hire,2024-10-25,,2,,Finance
MOV-00332,MOEI-10126,Hire,2022-10-26,,1,,Electricity & Water
MOV-00333,MOEI-10126,Promotion,2024-04-21,1,2,Electricity & Water,Electricity & Water
MOV-00334,MOEI-10127,Hire,2018-01-06,,2,,Corporate Communication
MOV-00335,MOEI-10127,Promotion,2024-05-02,2,3,Corporate Communication,Corporate Communication
MOV-00336,MOEI-10127,Promotion,2025-12-04,3,4,Corporate Communication,Corporate Communication
MOV-00337,MOEI-10128,Hire,2012-04-25,,4,,Housing
MOV-00338,MOEI-10128,Promotion,2023-12-13,4,5,Housing,Housing
MOV-00339,MOEI-10128,Promotion,2026-02-25,5,6,Housing,Housing
MOV-00340,MOEI-10128,Promotion,2027-03-12,6,7,Housing,Housing
MOV-00341,MOEI-10128,Promotion,2028-03-26,7,8,Housing,Housing
MOV-00342,MOEI-10129,Hire,2021-02-12,,5,,Human Resources
MOV-00343,MOEI-10129,Promotion,2023-12-10,5,6,Human Resources,Human Resources
MOV-00344,MOEI-10130,Hire,2016-08-13,,2,,Customer Happiness
MOV-00345,MOEI-10130,Promotion,2019-02-25,2,3,Customer Happiness,Customer Happiness
MOV-00346,MOEI-10130,Promotion,2023-11-10,3,4,Customer Happiness,Customer Happiness
MOV-00347,MOEI-10130,Promotion,2026-02-01,4,5,Customer Happiness,Customer Happiness
MOV-00348,MOEI-10131,Hire,2024-07-08,,6,,Energy & Clean Energy
MOV-00349,MOEI-10132,Hire,2017-01-06,,1,,Land & Maritime Transport
MOV-00350,MOEI-10132,Transfer,2024-01-17,1,1,Land & Maritime Transport,Land & Maritime Transport
MOV-00351,MOEI-10132,Promotion,2025-10-08,1,2,Land & Maritime Transport,Land & Maritime Transport
MOV-00352,MOEI-10132,Promotion,2026-10-23,2,3,Land & Maritime Transport,Land & Maritime Transport
MOV-00353,MOEI-10133,Hire,2016-09-19,,1,,Land & Maritime Transport
MOV-00354,MOEI-10133,Promotion,2024-07-31,1,2,Land & Maritime Transport,Land & Maritime Transport
MOV-00355,MOEI-10133,Promotion,2025-12-13,2,3,Land & Maritime Transport,Land & Maritime Transport
MOV-00356,MOEI-10133,Promotion,2026-12-29,3,4,Land & Maritime Transport,Land & Maritime Transport
MOV-00357,MOEI-10134,Hire,2011-07-08,,5,,Finance
MOV-00358,MOEI-10134,Promotion,2012-08-04,5,6,Finance,Finance
MOV-00359,MOEI-10134,Promotion,2022-07-24,6,7,Finance,Finance
MOV-00360,MOEI-10134,Promotion,2025-05-30,7,8,Finance,Finance
MOV-00361,MOEI-10134,Promotion,2026-06-15,8,9,Finance,Finance
MOV-00362,MOEI-10135,Hire,2021-12-01,,4,,Internal Audit
MOV-00363,MOEI-10135,Promotion,2024-02-21,4,5,Internal Audit,Internal Audit
MOV-00364,MOEI-10136,Hire,2022-06-01,,2,,Energy & Clean Energy
MOV-00365,MOEI-10136,Promotion,2023-12-23,2,3,Energy & Clean Energy,Energy & Clean Energy
MOV-00366,MOEI-10137,Hire,2014-07-08,,2,,Housing
MOV-00367,MOEI-10137,Promotion,2022-11-21,2,3,Housing,Housing
MOV-00368,MOEI-10137,Promotion,2024-05-08,3,4,Housing,Housing
MOV-00369,MOEI-10137,Promotion,2025-12-07,4,5,Housing,Housing
MOV-00370,MOEI-10138,Hire,2024-01-07,,3,,Infrastructure & Assets
MOV-00371,MOEI-10139,Hire,2022-08-14,,2,,Internal Audit
MOV-00372,MOEI-10139,Transfer,2025-01-02,2,2,Internal Audit,Internal Audit
MOV-00373,MOEI-10140,Hire,2022-09-19,,5,,Information Technology
MOV-00374,MOEI-10140,Promotion,2024-12-08,5,6,Information Technology,Information Technology
MOV-00375,MOEI-10141,Hire,2024-09-19,,4,,Customer Happiness
MOV-00376,MOEI-10142,Hire,2021-07-08,,1,,Infrastructure & Assets
MOV-00377,MOEI-10142,Promotion,2024-10-15,1,2,Infrastructure & Assets,Infrastructure & Assets
MOV-00378,MOEI-10143,Hire,2019-09-19,,1,,Housing
MOV-00379,MOEI-10143,Transfer,2025-06-07,1,1,Housing,Housing
MOV-00380,MOEI-10144,Hire,2014-10-26,,1,,Housing
MOV-00381,MOEI-10144,Transfer,2024-11-24,1,1,Housing,Housing
MOV-00382,MOEI-10144,Promotion,2026-01-03,1,2,Housing,Housing
MOV-00383,MOEI-10144,Promotion,2027-01-19,2,3,Housing,Housing
MOV-00384,MOEI-10145,Hire,2013-12-01,,1,,Infrastructure & Assets
MOV-00385,MOEI-10145,Promotion,2015-03-26,1,2,Infrastructure & Assets,Infrastructure & Assets
MOV-00386,MOEI-10145,Promotion,2017-09-18,2,3,Infrastructure & Assets,Infrastructure & Assets
MOV-00387,MOEI-10145,Promotion,2023-01-22,3,4,Infrastructure & Assets,Infrastructure & Assets
MOV-00388,MOEI-10145,Promotion,2024-02-17,4,5,Infrastructure & Assets,Infrastructure & Assets
MOV-00389,MOEI-10146,Hire,2017-07-08,,2,,Electricity & Water
MOV-00390,MOEI-10146,Promotion,2026-01-27,2,3,Electricity & Water,Electricity & Water
MOV-00391,MOEI-10146,Promotion,2027-02-11,3,4,Electricity & Water,Electricity & Water
MOV-00392,MOEI-10147,Hire,2022-01-06,,2,,Legal Affairs
MOV-00393,MOEI-10147,Promotion,2024-07-03,2,3,Legal Affairs,Legal Affairs
MOV-00394,MOEI-10148,Hire,2021-12-01,,6,,"Petroleum, Gas & Mineral Resources"
MOV-00395,MOEI-10148,Promotion,2023-08-10,6,7,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00396,MOEI-10149,Hire,2024-08-13,,5,,Information Technology
MOV-00397,MOEI-10150,Hire,2015-12-01,,5,,Housing
MOV-00398,MOEI-10150,Promotion,2025-12-14,5,6,Housing,Housing
MOV-00399,MOEI-10150,Promotion,2026-12-30,6,7,Housing,Housing
MOV-00400,MOEI-10150,Promotion,2028-01-15,7,8,Housing,Housing
MOV-00401,MOEI-10151,Hire,2015-02-12,,2,,"Petroleum, Gas & Mineral Resources"
MOV-00402,MOEI-10151,Transfer,2020-03-31,2,2,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00403,MOEI-10151,Promotion,2022-04-16,2,3,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00404,MOEI-10151,Promotion,2026-04-23,3,4,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00405,MOEI-10152,Hire,2021-06-01,,4,,Procurement & Contracts
MOV-00406,MOEI-10152,Transfer,2026-03-28,4,4,Procurement & Contracts,Procurement & Contracts
MOV-00407,MOEI-10153,Hire,2020-08-13,,2,,Infrastructure & Assets
MOV-00408,MOEI-10153,Promotion,2021-09-11,2,3,Infrastructure & Assets,Infrastructure & Assets
MOV-00409,MOEI-10154,Hire,2022-08-14,,4,,Strategy & Future Foresight
MOV-00410,MOEI-10154,Promotion,2026-04-11,4,5,Strategy & Future Foresight,Strategy & Future Foresight
MOV-00411,MOEI-10155,Hire,2000-04-25,,1,,Land & Maritime Transport
MOV-00412,MOEI-10155,Promotion,2012-12-02,1,2,Land & Maritime Transport,Land & Maritime Transport
MOV-00413,MOEI-10155,Promotion,2024-03-01,2,3,Land & Maritime Transport,Land & Maritime Transport
MOV-00414,MOEI-10155,Promotion,2025-11-08,3,4,Land & Maritime Transport,Land & Maritime Transport
MOV-00415,MOEI-10155,Promotion,2026-11-23,4,5,Land & Maritime Transport,Land & Maritime Transport
MOV-00416,MOEI-10155,Promotion,2027-12-09,5,6,Land & Maritime Transport,Land & Maritime Transport
MOV-00417,MOEI-10155,Promotion,2028-12-24,6,7,Land & Maritime Transport,Land & Maritime Transport
MOV-00418,MOEI-10155,Promotion,2030-01-09,7,8,Land & Maritime Transport,Land & Maritime Transport
MOV-00419,MOEI-10155,Promotion,2031-01-24,8,9,Land & Maritime Transport,Land & Maritime Transport
MOV-00420,MOEI-10156,Hire,2014-01-06,,1,,Infrastructure & Assets
MOV-00421,MOEI-10156,Promotion,2019-01-24,1,2,Infrastructure & Assets,Infrastructure & Assets
MOV-00422,MOEI-10156,Transfer,2024-10-12,2,2,Infrastructure & Assets,Infrastructure & Assets
MOV-00423,MOEI-10156,Promotion,2026-01-18,2,3,Infrastructure & Assets,Infrastructure & Assets
MOV-00424,MOEI-10157,Hire,2023-03-21,,4,,Land & Maritime Transport
MOV-00425,MOEI-10157,Promotion,2024-05-10,4,5,Land & Maritime Transport,Land & Maritime Transport
MOV-00426,MOEI-10158,Hire,2009-02-12,,1,,Infrastructure & Assets
MOV-00427,MOEI-10158,Promotion,2018-03-03,1,2,Infrastructure & Assets,Infrastructure & Assets
MOV-00428,MOEI-10158,Promotion,2025-03-02,2,3,Infrastructure & Assets,Infrastructure & Assets
MOV-00429,MOEI-10158,Promotion,2026-04-01,3,4,Infrastructure & Assets,Infrastructure & Assets
MOV-00430,MOEI-10158,Transfer,2027-04-16,4,4,Infrastructure & Assets,Infrastructure & Assets
MOV-00431,MOEI-10159,Hire,2013-01-06,,3,,Procurement & Contracts
MOV-00432,MOEI-10159,Promotion,2017-04-19,3,4,Procurement & Contracts,Procurement & Contracts
MOV-00433,MOEI-10159,Promotion,2023-03-04,4,5,Procurement & Contracts,Procurement & Contracts
MOV-00434,MOEI-10159,Promotion,2025-03-06,5,6,Procurement & Contracts,Procurement & Contracts
MOV-00435,MOEI-10159,Promotion,2026-04-29,6,7,Procurement & Contracts,Procurement & Contracts
MOV-00436,MOEI-10160,Hire,2021-09-19,,2,,Corporate Communication
MOV-00437,MOEI-10160,Promotion,2025-09-10,2,3,Corporate Communication,Corporate Communication
MOV-00438,MOEI-10161,Hire,2019-10-26,,3,,Infrastructure & Assets
MOV-00439,MOEI-10161,Transfer,2021-01-31,3,3,Infrastructure & Assets,Infrastructure & Assets
MOV-00440,MOEI-10161,Transfer,2024-03-19,3,3,Infrastructure & Assets,Infrastructure & Assets
MOV-00441,MOEI-10162,Hire,2024-09-19,,2,,Information Technology
MOV-00442,MOEI-10163,Hire,2019-08-14,,1,,Internal Audit
MOV-00443,MOEI-10163,Promotion,2021-10-16,1,2,Internal Audit,Internal Audit
MOV-00444,MOEI-10163,Promotion,2023-04-10,2,3,Internal Audit,Internal Audit
MOV-00445,MOEI-10164,Hire,2022-06-01,,4,,Strategy & Future Foresight
MOV-00446,MOEI-10164,Promotion,2025-02-23,4,5,Strategy & Future Foresight,Strategy & Future Foresight
MOV-00447,MOEI-10165,Hire,2019-01-07,,2,,Information Technology
MOV-00448,MOEI-10165,Promotion,2020-04-22,2,3,Information Technology,Information Technology
MOV-00449,MOEI-10165,Promotion,2025-07-14,3,4,Information Technology,Information Technology
MOV-00450,MOEI-10166,Hire,2009-07-08,,1,,"Petroleum, Gas & Mineral Resources"
MOV-00451,MOEI-10166,Promotion,2025-03-14,1,2,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00452,MOEI-10166,Promotion,2026-04-03,2,3,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00453,MOEI-10166,Promotion,2027-04-19,3,4,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00454,MOEI-10166,Promotion,2028-05-03,4,5,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00455,MOEI-10166,Promotion,2029-05-19,5,6,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00456,MOEI-10167,Hire,2020-08-13,,1,,Information Technology
MOV-00457,MOEI-10167,Promotion,2024-09-05,1,2,Information Technology,Information Technology
MOV-00458,MOEI-10168,Hire,2021-01-06,,2,,Energy & Clean Energy
MOV-00459,MOEI-10168,Promotion,2023-06-04,2,3,Energy & Clean Energy,Energy & Clean Energy
MOV-00460,MOEI-10169,Hire,2026-01-06,,6,,Land & Maritime Transport
MOV-00461,MOEI-10170,Hire,2020-03-20,,1,,Customer Happiness
MOV-00462,MOEI-10170,Promotion,2021-07-13,1,2,Customer Happiness,Customer Happiness
MOV-00463,MOEI-10171,Hire,2016-01-07,,1,,Strategy & Future Foresight
MOV-00464,MOEI-10171,Promotion,2022-05-12,1,2,Strategy & Future Foresight,Strategy & Future Foresight
MOV-00465,MOEI-10171,Promotion,2025-11-06,2,3,Strategy & Future Foresight,Strategy & Future Foresight
MOV-00466,MOEI-10171,Promotion,2026-11-21,3,4,Strategy & Future Foresight,Strategy & Future Foresight
MOV-00467,MOEI-10172,Hire,2022-10-26,,1,,Customer Happiness
MOV-00468,MOEI-10173,Hire,2022-09-19,,2,,Electricity & Water
MOV-00469,MOEI-10173,Transfer,2025-08-21,2,2,Electricity & Water,Electricity & Water
MOV-00470,MOEI-10174,Hire,2013-04-26,,1,,Corporate Communication
MOV-00471,MOEI-10174,Promotion,2023-04-19,1,2,Corporate Communication,Corporate Communication
MOV-00472,MOEI-10174,Promotion,2026-03-28,2,3,Corporate Communication,Corporate Communication
MOV-00473,MOEI-10174,Promotion,2027-04-12,3,4,Corporate Communication,Corporate Communication
MOV-00474,MOEI-10175,Hire,2016-08-13,,2,,Infrastructure & Assets
MOV-00475,MOEI-10175,Promotion,2017-11-12,2,3,Infrastructure & Assets,Infrastructure & Assets
MOV-00476,MOEI-10175,Transfer,2026-04-10,3,3,Infrastructure & Assets,Infrastructure & Assets
MOV-00477,MOEI-10175,Promotion,2027-04-26,3,4,Infrastructure & Assets,Infrastructure & Assets
MOV-00478,MOEI-10176,Hire,2008-03-20,,1,,Legal Affairs
MOV-00479,MOEI-10176,Promotion,2023-06-30,1,2,Legal Affairs,Legal Affairs
MOV-00480,MOEI-10176,Promotion,2025-02-25,2,3,Legal Affairs,Legal Affairs
MOV-00481,MOEI-10176,Promotion,2026-04-26,3,4,Legal Affairs,Legal Affairs
MOV-00482,MOEI-10176,Promotion,2027-05-11,4,5,Legal Affairs,Legal Affairs
MOV-00483,MOEI-10176,Promotion,2028-05-26,5,6,Legal Affairs,Legal Affairs
MOV-00484,MOEI-10176,Promotion,2029-06-11,6,7,Legal Affairs,Legal Affairs
MOV-00485,MOEI-10177,Hire,2016-02-12,,2,,Energy & Clean Energy
MOV-00486,MOEI-10177,Promotion,2022-06-28,2,3,Energy & Clean Energy,Energy & Clean Energy
MOV-00487,MOEI-10177,Promotion,2023-08-07,3,4,Energy & Clean Energy,Energy & Clean Energy
MOV-00488,MOEI-10177,Promotion,2025-07-14,4,5,Energy & Clean Energy,Energy & Clean Energy
MOV-00489,MOEI-10178,Hire,2019-07-08,,1,,Customer Happiness
MOV-00490,MOEI-10178,Promotion,2025-07-16,1,2,Customer Happiness,Customer Happiness
MOV-00491,MOEI-10178,Promotion,2026-08-01,2,3,Customer Happiness,Customer Happiness
MOV-00492,MOEI-10179,Hire,2021-01-06,,3,,Finance
MOV-00493,MOEI-10179,Promotion,2025-12-19,3,4,Finance,Finance
MOV-00494,MOEI-10180,Hire,2025-02-12,,3,,Strategy & Future Foresight
MOV-00495,MOEI-10181,Hire,2019-01-07,,1,,Strategy & Future Foresight
MOV-00496,MOEI-10181,Promotion,2024-06-06,1,2,Strategy & Future Foresight,Strategy & Future Foresight
MOV-00497,MOEI-10181,Promotion,2025-07-07,2,3,Strategy & Future Foresight,Strategy & Future Foresight
MOV-00498,MOEI-10182,Hire,2021-06-01,,5,,"Petroleum, Gas & Mineral Resources"
MOV-00499,MOEI-10182,Promotion,2025-08-29,5,6,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00500,MOEI-10183,Hire,2015-06-02,,3,,Energy & Clean Energy
MOV-00501,MOEI-10183,Promotion,2023-07-16,3,4,Energy & Clean Energy,Energy & Clean Energy
MOV-00502,MOEI-10183,Transfer,2025-07-18,4,4,Energy & Clean Energy,Energy & Clean Energy
MOV-00503,MOEI-10183,Promotion,2026-08-03,4,5,Energy & Clean Energy,Energy & Clean Energy
MOV-00504,MOEI-10184,Hire,2023-03-21,,3,,Human Resources
MOV-00505,MOEI-10184,Promotion,2025-02-20,3,4,Human Resources,Human Resources
MOV-00506,MOEI-10185,Hire,2019-09-19,,2,,Finance
MOV-00507,MOEI-10185,Transfer,2023-05-18,2,2,Finance,Finance
MOV-00508,MOEI-10185,Promotion,2026-03-02,2,3,Finance,Finance
MOV-00509,MOEI-10186,Hire,2016-09-19,,1,,Land & Maritime Transport
MOV-00510,MOEI-10186,Promotion,2024-10-03,1,2,Land & Maritime Transport,Land & Maritime Transport
MOV-00511,MOEI-10186,Promotion,2026-02-05,2,3,Land & Maritime Transport,Land & Maritime Transport
MOV-00512,MOEI-10186,Promotion,2027-02-20,3,4,Land & Maritime Transport,Land & Maritime Transport
MOV-00513,MOEI-10187,Hire,2021-09-19,,3,,Land & Maritime Transport
MOV-00514,MOEI-10187,Promotion,2024-05-07,3,4,Land & Maritime Transport,Land & Maritime Transport
MOV-00515,MOEI-10188,Hire,2020-01-07,,3,,Customer Happiness
MOV-00516,MOEI-10188,Promotion,2023-10-23,3,4,Customer Happiness,Customer Happiness
MOV-00517,MOEI-10188,Promotion,2025-11-25,4,5,Customer Happiness,Customer Happiness
MOV-00518,MOEI-10189,Hire,2012-06-01,,4,,Infrastructure & Assets
MOV-00519,MOEI-10189,Promotion,2016-05-29,4,5,Infrastructure & Assets,Infrastructure & Assets
MOV-00520,MOEI-10189,Transfer,2018-10-31,5,5,Infrastructure & Assets,Infrastructure & Assets
MOV-00521,MOEI-10189,Promotion,2022-04-27,5,6,Infrastructure & Assets,Infrastructure & Assets
MOV-00522,MOEI-10189,Promotion,2023-12-24,6,7,Infrastructure & Assets,Infrastructure & Assets
MOV-00523,MOEI-10190,Hire,2018-06-01,,4,,Strategy & Future Foresight
MOV-00524,MOEI-10190,Promotion,2021-06-16,4,5,Strategy & Future Foresight,Strategy & Future Foresight
MOV-00525,MOEI-10190,Promotion,2024-09-29,5,6,Strategy & Future Foresight,Strategy & Future Foresight
MOV-00526,MOEI-10191,Hire,2025-08-13,,1,,Legal Affairs
MOV-00527,MOEI-10192,Hire,2015-10-26,,2,,Legal Affairs
MOV-00528,MOEI-10192,Promotion,2020-10-20,2,3,Legal Affairs,Legal Affairs
MOV-00529,MOEI-10192,Promotion,2024-03-09,3,4,Legal Affairs,Legal Affairs
MOV-00530,MOEI-10192,Promotion,2025-08-13,4,5,Legal Affairs,Legal Affairs
MOV-00531,MOEI-10193,Hire,2015-09-19,,3,,Housing
MOV-00532,MOEI-10193,Promotion,2020-10-29,3,4,Housing,Housing
MOV-00533,MOEI-10193,Promotion,2025-08-04,4,5,Housing,Housing
MOV-00534,MOEI-10193,Promotion,2026-08-20,5,6,Housing,Housing
MOV-00535,MOEI-10194,Hire,2022-08-14,,2,,Land & Maritime Transport
MOV-00536,MOEI-10194,Promotion,2025-02-24,2,3,Land & Maritime Transport,Land & Maritime Transport
MOV-00537,MOEI-10195,Hire,2025-03-20,,3,,Infrastructure & Assets
MOV-00538,MOEI-10196,Hire,2022-07-08,,1,,Housing
MOV-00539,MOEI-10196,Promotion,2025-12-18,1,2,Housing,Housing
MOV-00540,MOEI-10197,Hire,2021-01-06,,1,,Corporate Communication
MOV-00541,MOEI-10197,Promotion,2026-04-19,1,2,Corporate Communication,Corporate Communication
MOV-00542,MOEI-10198,Hire,2022-02-12,,2,,Infrastructure & Assets
MOV-00543,MOEI-10198,Promotion,2025-09-04,2,3,Infrastructure & Assets,Infrastructure & Assets
MOV-00544,MOEI-10199,Hire,2016-12-01,,3,,Electricity & Water
MOV-00545,MOEI-10199,Promotion,2019-12-13,3,4,Electricity & Water,Electricity & Water
MOV-00546,MOEI-10199,Promotion,2021-01-02,4,5,Electricity & Water,Electricity & Water
MOV-00547,MOEI-10199,Promotion,2023-12-02,5,6,Electricity & Water,Electricity & Water
MOV-00548,MOEI-10200,Hire,2015-08-14,,2,,Human Resources
MOV-00549,MOEI-10200,Promotion,2024-01-06,2,3,Human Resources,Human Resources
MOV-00550,MOEI-10200,Transfer,2026-04-29,3,3,Human Resources,Human Resources
MOV-00551,MOEI-10200,Promotion,2027-05-15,3,4,Human Resources,Human Resources
MOV-00552,MOEI-10201,Hire,2019-09-19,,1,,Human Resources
MOV-00553,MOEI-10201,Promotion,2023-01-21,1,2,Human Resources,Human Resources
MOV-00554,MOEI-10202,Hire,2019-08-14,,1,,"Petroleum, Gas & Mineral Resources"
MOV-00555,MOEI-10202,Promotion,2020-12-24,1,2,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00556,MOEI-10203,Hire,2021-08-13,,3,,Corporate Communication
MOV-00557,MOEI-10203,Promotion,2023-06-07,3,4,Corporate Communication,Corporate Communication
MOV-00558,MOEI-10204,Hire,2018-09-19,,2,,Strategy & Future Foresight
MOV-00559,MOEI-10204,Promotion,2025-05-26,2,3,Strategy & Future Foresight,Strategy & Future Foresight
MOV-00560,MOEI-10204,Promotion,2026-06-11,3,4,Strategy & Future Foresight,Strategy & Future Foresight
MOV-00561,MOEI-10205,Hire,2022-09-19,,2,,Information Technology
MOV-00562,MOEI-10205,Promotion,2024-08-31,2,3,Information Technology,Information Technology
MOV-00563,MOEI-10206,Hire,2013-09-19,,1,,Land & Maritime Transport
MOV-00564,MOEI-10206,Promotion,2018-06-28,1,2,Land & Maritime Transport,Land & Maritime Transport
MOV-00565,MOEI-10206,Promotion,2024-10-26,2,3,Land & Maritime Transport,Land & Maritime Transport
MOV-00566,MOEI-10206,Transfer,2026-02-12,3,3,Land & Maritime Transport,Land & Maritime Transport
MOV-00567,MOEI-10206,Promotion,2027-02-28,3,4,Land & Maritime Transport,Land & Maritime Transport
MOV-00568,MOEI-10207,Hire,2015-12-01,,2,,"Petroleum, Gas & Mineral Resources"
MOV-00569,MOEI-10207,Promotion,2019-02-13,2,3,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00570,MOEI-10207,Promotion,2021-12-20,3,4,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00571,MOEI-10207,Promotion,2024-05-08,4,5,"Petroleum, Gas & Mineral Resources","Petroleum, Gas & Mineral Resources"
MOV-00572,MOEI-10208,Hire,2024-03-20,,5,,Infrastructure & Assets
MOV-00573,MOEI-10209,Hire,2023-07-08,,4,,"Petroleum, Gas & Mineral Resources"
MOV-00574,MOEI-10210,Hire,2018-08-14,,1,,Energy & Clean Energy
MOV-00575,MOEI-10210,Promotion,2021-11-24,1,2,Energy & Clean Energy,Energy & Clean Energy
MOV-00576,MOEI-10210,Transfer,2024-07-31,2,2,Energy & Clean Energy,Energy & Clean Energy
MOV-00577,MOEI-10211,Hire,2022-04-26,,2,,Housing
MOV-00578,MOEI-10211,Promotion,2023-07-13,2,3,Housing,Housing
MOV-00579,MOEI-10212,Hire,2015-10-26,,3,,Legal Affairs
MOV-00580,MOEI-10212,Promotion,2022-01-10,3,4,Legal Affairs,Legal Affairs
MOV-00581,MOEI-10212,Promotion,2025-07-21,4,5,Legal Affairs,Legal Affairs
MOV-00582,MOEI-10212,Promotion,2026-08-05,5,6,Legal Affairs,Legal Affairs
MOV-00583,MOEI-10213,Hire,2011-02-12,,1,,Electricity & Water
MOV-00584,MOEI-10213,Promotion,2023-05-17,1,2,Electricity & Water,Electricity & Water
MOV-00585,MOEI-10213,Promotion,2026-02-08,2,3,Electricity & Water,Electricity & Water
MOV-00586,MOEI-10213,Promotion,2027-02-23,3,4,Electricity & Water,Electricity & Water
MOV-00587,MOEI-10213,Transfer,2028-03-09,4,4,Electricity & Water,Electricity & Water
MOV-00588,MOEI-10213,Promotion,2029-03-24,4,5,Electricity & Water,Electricity & Water
MOV-00589,MOEI-10214,Hire,2020-07-08,,4,,Finance
MOV-00590,MOEI-10214,Promotion,2023-11-02,4,5,Finance,Finance
MOV-00591,MOEI-10215,Hire,2016-10-25,,1,,Corporate Communication
MOV-00592,MOEI-10215,Promotion,2023-02-16,1,2,Corporate Communication,Corporate Communication
MOV-00593,MOEI-10215,Promotion,2024-05-13,2,3,Corporate Communication,Corporate Communication
MOV-00594,MOEI-10216,Hire,2022-03-20,,2,,Procurement & Contracts
MOV-00595,MOEI-10216,Promotion,2024-09-17,2,3,Procurement & Contracts,Procurement & Contracts
MOV-00596,MOEI-10217,Hire,2022-04-26,,5,,Energy & Clean Energy
MOV-00597,MOEI-10217,Promotion,2024-01-13,5,6,Energy & Clean Energy,Energy & Clean Energy
MOV-00598,MOEI-10218,Hire,2020-01-07,,3,,Corporate Communication
MOV-00599,MOEI-10218,Promotion,2024-06-17,3,4,Corporate Communication,Corporate Communication
MOV-00600,MOEI-10218,Promotion,2026-04-01,4,5,Corporate Communication,Corporate Communication
MOV-00601,MOEI-10219,Hire,2015-04-26,,1,,Infrastructure & Assets
